Author Name,Total Cites 2020 (Without Self Citation),H-index 2020 (Without Self Citation),Co-author H-index 2020 (Without Self Citation),Distinct Citing Papers (Without Self Citation),Ratio of Total Citation to Distinct Citing Papers (Without Self Citation),Distinct Citing Papers (With Self Citation),H-index 2020 (With Self Citation),Co-author H-index 2020 (With Self Citation),Distinct Citing Papers (With Self Citation),Ratio of Total Citation to Distinct Citing Papers (With Self Citation)
Ghulam Shabbir,51,3,2.2500,43,1.1860,298,9,6.0000,65,4.5846
Saima Rashid,227,8,4.5167,116,1.9569,"1,064",20,7.6833,251,4.2390
Muhammad Usman Khan,201,8,3.0425,136,1.4779,879,20,4.7782,238,3.6933
Ghulam Farid,125,6,3.0167,70,1.7857,438,12,5.3167,142,3.0845
Muhammad Khalid,363,9,3.9846,274,1.3248,"1,167",20,6.9263,427,2.7330
Khuram Shahzad Ahmad,167,6,3.6429,147,1.1361,531,12,8.3095,213,2.4930
Muhammad Adil Khan,267,10,4.9000,105,2.5429,812,16,6.6833,229,3.5459
Kashif Ali Abro,347,11,6.8667,196,1.7704,984,20,12.5667,271,3.6310
Akbar Zada,252,8,4.8333,166,1.5181,705,18,9.8500,240,2.9375
Nouman Rasool,161,6,3.9833,110,1.4636,433,12,6.5500,146,2.9658
Ahmad Jalal,454,11,7.7833,221,2.0543,"1,074",20,12.9500,256,4.1953
Muhammad Shahzad,277,8,4.7929,184,1.5054,638,14,6.9190,261,2.4444
Lal Hussain,89,6,2.5508,87,1.0230,204,9,3.6480,109,1.8716
Khurshid Ayub,958,14,8.9262,547,1.7514,"2,059",23,14.8008,717,2.8717
Nauman Ali,198,7,2.8944,170,1.1647,417,12,4.3167,231,1.8052
Muhammad Kamran Siddiqui,414,7,4.8000,293,1.4130,865,14,7.4667,412,2.0995
Muhammad Attique Khan,870,17,6.8786,532,1.6353,"1,813",30,8.9631,653,2.7764
Hassan Waqas,263,10,4.0706,194,1.3557,546,14,4.8302,297,1.8384
Muhammad Akram,347,10,6.0833,226,1.5354,714,15,9.3333,319,2.2382
M. A. Baqir,126,6,3.7857,93,1.3548,258,9,5.1524,128,2.0156
Iftikhar Ahmad,75,4,2.1151,73,1.0274,153,7,3.8972,95,1.6105
Imran Ahmed,174,7,3.0107,160,1.0875,346,12,5.6940,206,1.6796
M. Z. Bhatti,315,9,5.1667,138,2.2826,620,12,8.9167,176,3.5227
Sami Ullah Khan,472,10,5.7357,347,1.3602,928,17,8.6690,484,1.9174
